stage,split,intervention,family,n_seeds,delta_sta_mean,delta_sim_mean,delta_fl_mean,delta_j_mean,effect_size_sta_mean,effect_size_sim_mean,effect_size_j_mean,delta_sta_sd,delta_sim_sd,delta_j_sd
stage13_steering,dev,encoder/mean_diff/pooled_all_balanced@+0.50,steering_primary,3,-0.013500346548941798,0.003923001219478739,-0.002235429796973711,-0.008884195139301151,-0.05584470491138229,0.04410640636417279,-0.05002061772028819,0.02254298405976616,0.005478828358204813,0.018292618864451524
stage13_steering,dev,encoder/mean_diff/pooled_all_balanced@+1.00,steering_primary,3,0.22757693242957674,-0.3608348469178327,-0.26906271782537816,-0.15698539842233802,0.42709352743320617,-1.37541925764972,-0.463637186977127,0.20710555176723258,0.20183323919369203,0.08956078466126272
stage13_steering,dev,encoder/mean_diff/pooled_all_balanced@-0.50,steering_primary,3,0.001305788800652558,6.843924417009473e-05,-0.003037699405331943,-0.005395417763427986,0.009413228080857884,-0.008922295354553786,-0.024530514652672124,0.01378203489284946,0.002994606838869214,0.014476833214919214
stage13_steering,dev,encoder/mean_diff/pooled_all_balanced@-1.00,steering_primary,3,0.0022227236540388003,-0.001176322973936901,-0.007791393778633145,-0.014283531998360202,0.014837974748830335,-0.012903023671751744,-0.06020663498901093,0.030446691113613495,0.0034998421593784154,0.029042029334766305
stage13_steering,dev,encoder/mean_diff/pooled_non_african@+0.25,steering_primary,3,-0.018725414416578486,0.004590480945130316,-0.00107229470119313,-0.014394977538855295,-0.10727256794831476,0.09510132828934091,-0.11121106697719592,0.011279105907635562,0.0015322400727628299,0.009159988839327738
stage13_steering,dev,encoder/mean_diff/pooled_non_african@+0.50,steering_primary,3,-0.025657520529012347,0.004081850549958848,-0.004572849166038442,-0.019031469939263412,-0.09844375107145552,0.03372169795925392,-0.09832194114394943,0.022662275624402754,0.0038848981625724133,0.014921244008513478
stage13_steering,dev,encoder/mean_diff/pooled_non_african@+1.00,steering_primary,3,0.45409285914994707,-0.568907730161893,-0.44105287115910946,-0.23415012454888665,0.8256767120149555,-2.006782398606766,-0.6386108916768635,0.05565059549607964,0.09657153294763048,0.054082312077827446
stage13_steering,dev,encoder/mean_diff/pooled_non_african@-0.50,steering_primary,3,-0.0009597387692239836,0.0004141481700960223,-0.0032256174362971096,-0.006021911114377294,0.0017260895677076264,0.006457620642977088,-0.02682782475468662,0.016299176770079575,0.0008235067750742704,0.015869326953508685
stage13_steering,dev,encoder/mean_diff/pooled_non_african@-1.00,steering_primary,3,0.000989217381569663,-0.0034865960562414275,-0.011497699610863138,-0.017581613791892974,0.010170921836793578,-0.03725057305992399,-0.07555454491911116,0.03754376049126109,0.004934366819710601,0.029985278032697682
stage13_steering,dev,encoder/probe/per_language@+0.25,steering_primary,3,0.0020438068402645507,-0.0003597724019204377,-0.0007415389610475376,0.0008272166849976405,-0.011896013781826082,-0.0013058615468285624,0.0024046531928656654,0.007718308116781706,0.0007282551179522484,0.004310157280132201
stage13_steering,dev,encoder/probe/per_language@+0.50,steering_primary,3,0.002409215510176367,-0.0008297505089163216,-0.0006118240340323868,0.0003683976594288511,-0.0010530376614524127,-0.043765584041786106,0.0020682191947690846,0.0034161329167658756,0.00037400932191337157,0.0017889369974228842
stage13_steering,dev,encoder/probe/per_language@+1.00,steering_primary,3,0.0080448957875485,-0.001575683766803839,-0.0012635410054092292,0.0028337305171238906,0.05171760242274461,-0.05592513857078033,0.03320926225136072,0.0116849938579074,0.0005961346562519483,0.009152648340392627
stage13_steering,dev,encoder/probe/per_language@-0.50,steering_primary,3,-0.00700537496707231,0.0035403596844993134,3.293324802755153e-05,-0.0050195408851952394,-0.055561904850812506,0.08439141369049623,-0.034938951996049135,0.012180549264549426,0.0021252295644341545,0.009254821085322412
stage13_steering,dev,encoder/probe/per_language@-1.00,steering_primary,3,-0.0035554111504585532,0.0045187183113854605,0.0019754938937098245,-0.00286289477499474,0.04208441826856235,0.09341418421988845,-0.01689425762211216,0.00627078415842957,0.0015876182398345024,0.0053979613577956635
stage13_steering,dev,encoder/probe/pooled_african@+0.25,steering_primary,3,-0.0013890670470546734,-1.2607880658436078e-05,-0.00045293352689755335,-0.000931155161437856,-0.06458905409783801,0.004331068611745546,-0.08178431796924528,0.002394630460808099,0.0002999443518509362,0.0016034554435991409
stage13_steering,dev,encoder/probe/pooled_african@+0.50,steering_primary,3,0.0006780716446031744,-0.000527058814814815,-0.0007619231504291383,-0.001031964020085272,0.028823069533198995,-0.012572471827869214,-0.026786057056190003,0.004675228474960939,0.0016008540987438808,0.0017100366109445927
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,3,-0.0022766844751146375,-0.0007647460356652955,-0.0006064577349398319,-0.004666977109065271,-0.001860106119786054,-0.022912489658074974,-0.05133787768605636,0.014418378065691278,0.002151236275864017,0.007753336980491737
stage13_steering,dev,encoder/probe/pooled_african@-0.50,steering_primary,3,-0.0017423693920282184,0.0032073959314128943,0.0008375763240454255,-0.0010744767034481899,0.00211275951963071,0.09747955939416303,0.018021305311123555,0.0030712605239687626,0.0013917049698325937,0.002177594956441751
stage13_steering,dev,encoder/probe/pooled_african@-1.00,steering_primary,3,0.003327500321410935,0.0045627923223593965,0.002042798532296948,0.0019683938233028575,0.054754001065652785,0.08202197827183992,0.060066574161430235,0.005887363310425567,0.004176215296760933,0.0014243605433490248
stage13_steering,dev,encoder/probe/pooled_all_balanced@+0.25,steering_primary,3,0.0034365600329453266,-0.0013764372976680379,-0.0011212925986467794,-0.00016139117912738216,0.01758492985243885,-0.06172296417734694,-0.015506025378389077,0.0033076525844860523,0.0010325766095578624,0.0023001953018001887
stage13_steering,dev,encoder/probe/pooled_all_balanced@+0.50,steering_primary,3,0.007409409422962962,-0.002500529499314128,-0.0007869464735299689,0.0019414426122380233,0.06932905945660502,-0.09952938867559182,0.03778694746639166,0.006803293106555642,0.00040149455077433555,0.005589191707037187
stage13_steering,dev,encoder/probe/pooled_all_balanced@+1.00,steering_primary,3,0.007619220240088184,-0.004252273829903977,-0.0012944776160832745,0.0018138129981172303,0.03885017916355112,-0.12272892375594628,0.012046353958360253,0.015922477485745413,0.0009037729757670593,0.01236789585512417
stage13_steering,dev,encoder/probe/pooled_all_balanced@-0.50,steering_primary,3,-0.00459805740585538,0.004649199175582991,6.905892361228857e-05,-0.0041346775526582705,0.001716249101495491,0.11643309856727897,0.003591482375342019,0.013871427452431695,0.0024070693890900262,0.011550037519131093
stage13_steering,dev,encoder/probe/pooled_all_balanced@-1.00,steering_primary,3,-0.009441849101781306,0.007521022491083676,-1.0602470908378734e-05,-0.007301143256031706,-0.061036662443482916,0.1342615232253692,-0.06558038559637083,0.013398738578560054,0.0032174691514304105,0.00973665276151389
stage13_steering,dev,encoder/probe/pooled_non_african@+0.25,steering_primary,3,0.004724542261164021,-0.0009510641536351152,-0.0011465994444261015,0.001394041971609582,0.016637758075695404,-0.06521108576976416,0.012174573799878971,0.00828614347271875,0.0005504980616946362,0.004751242418333063
stage13_steering,dev,encoder/probe/pooled_non_african@+0.50,steering_primary,3,0.009255027106137566,-0.0021664133443072687,-0.0006543123874212906,0.0032506207318193734,0.07674496337179564,-0.08290723338916778,0.046453554671061714,0.009999997857222356,0.0005065495661865127,0.00756447086714348
stage13_steering,dev,encoder/probe/pooled_non_african@+1.00,steering_primary,3,0.005559802537054674,-0.0037792019917695465,-0.002205161495762712,-0.0006621754166210471,0.031809519845933255,-0.1099630182963578,0.0004909788861724579,0.02206568449350978,0.0017140904614901438,0.016438668700127446
stage13_steering,dev,encoder/probe/pooled_non_african@-0.50,steering_primary,3,-0.006595884357354499,0.0033900455459533623,-0.00024514187134351345,-0.005214336773670156,-0.019482070209126203,0.09640271127866161,-0.009317046061862838,0.016201948745431967,0.0012078429369286436,0.011661834673758815
stage13_steering,dev,encoder/probe/pooled_non_african@-1.00,steering_primary,3,-0.007817456307160494,0.004645523518518521,8.981132315348011e-05,-0.008180843049779734,-0.04357368362832073,0.11229701044040648,-0.0800696356532166,0.010963151044201584,0.0028650828765383225,0.00821866678966382
stage13_steering,test,encoder/mean_diff/per_language@+0.50,steering_primary,3,0.018390991787930404,-0.006540852405128204,-0.003001073675933517,0.0006413587918492848,0.0738534320595556,-0.10152419524606726,0.006251878575019493,0.008781930584502317,0.0030788860761842784,0.00900395092140447
stage13_steering,test,encoder/mean_diff/pooled_african@+0.50,steering_primary,3,-0.0008845077593956033,-0.0005046662868945862,-0.001326191299743079,-0.0042396886988317305,0.006376834930178303,-0.004669229885217449,-0.03218286000324904,0.007669306110407651,0.0035551456886375957,0.004291257136024757
stage13_steering,test,encoder/mean_diff/pooled_african@+1.00,steering_primary,3,-0.004137698250970695,0.00021328201794872003,-0.0023565977059225177,-0.009422553154670714,-0.0195352309611865,0.002874894169917717,-0.06459085452849757,0.007797622033825007,0.0038147450986867316,0.007233233160590987
stage13_steering,test,encoder/mean_diff/pooled_african@-1.00,steering_primary,3,-0.0049871705993406595,0.01170027818888889,0.0019934491776109594,0.004309364937374951,-0.017411636650936185,0.13572645794688618,0.027051630816956065,0.014943450229096666,0.0007743040674095791,0.009234440598395965
stage13_steering,test,encoder/mean_diff/pooled_all_balanced@+0.50,steering_primary,3,-0.0030718028915567765,0.009300982708404557,0.0017244651890591979,0.004986460747698288,-0.004123715465838777,0.09760525289814027,0.039842450254802465,0.022140746291351064,0.008640027506746948,0.011013226613238976
stage13_steering,test,encoder/mean_diff/pooled_non_african@-0.50,steering_primary,3,-0.003470644206959708,0.0021884152159544145,-0.002431824928977989,-0.0073772421604034475,-0.015931915896082317,0.02145716293731205,-0.04818446679621952,0.0025510305009506184,0.0066298177296205485,0.005307431659037165
stage13_steering,test,encoder/mean_diff/pooled_non_african@-1.00,steering_primary,3,-0.008228474186172159,0.01506117947948718,-0.008727418084243354,-0.017507843532961694,-0.026947970546792172,0.1036402034445616,-0.08871264487563578,0.01980041221919622,0.011277531465993211,0.016847836050923208
stage13_steering,test,encoder/probe/pooled_all_balanced@+1.00,steering_primary,3,4.60674695970696e-05,-0.0036742674079772077,-0.0015919666912030865,-0.0034484287296566406,0.009220008335841438,-0.10734452972359089,-0.027482818242168926,0.008722048355420975,0.0012709099115635937,0.004434313955812781
stage14_transfer,dev,decoder/mean_diff/EN_DE_ES@+0.25,transfer_primary,3,,0.0007017282098765444,0.0007535574837561226,,,0.119631710117813,,,0.001215410790246187,
stage14_transfer,dev,decoder/mean_diff/EN_DE_ES@+0.50,transfer_primary,3,,0.001838066913580248,0.0007518286170537517,,,0.12655350353708011,,,0.0031836071596561466,
stage14_transfer,dev,decoder/mean_diff/EN_DE_ES@+1.00,transfer_primary,3,,0.00784018216666667,0.002913241785002921,,,0.1414951226076972,,,0.009102038821256047,
stage14_transfer,dev,decoder/mean_diff/EN_DE_ES@-0.50,transfer_primary,3,,-0.002244895185185184,0.000575475879744445,,,-0.08139151870413303,,,0.0026916936705079627,
stage14_transfer,dev,decoder/mean_diff/EN_DE_ES@-1.00,transfer_primary,3,,-0.0016033593024691354,0.00044745288544311676,,,0.007980209495573737,,,0.002171524433322469,
stage14_transfer,dev,decoder/mean_diff/YO_XH@+0.25,transfer_primary,3,0.00033951325412698427,0.000762436790123457,-0.00010297191085344603,0.00041058828980589,0.0036321228949838524,0.08935798237622017,0.011682267721905651,0.0005538573587822811,0.0008312667879594273,0.0004000681875183257
stage14_transfer,dev,decoder/mean_diff/YO_XH@+0.50,transfer_primary,3,0.0005131146535802472,0.0012869154320987665,0.00041718637184815307,0.0009792740256768032,0.003730659802211031,0.09263673710937903,0.01786419111571888,0.0008542412547677487,0.0017336835573740267,0.0010976625027437224
stage14_transfer,dev,decoder/mean_diff/YO_XH@+1.00,transfer_primary,3,-0.0012483437667372137,0.0015475653086419756,0.0004790088477706052,-0.0003720913965799461,-0.007032430775936564,0.1062902934443574,0.002335195237569157,0.002198049117393702,0.001930512485346319,0.00138437316864006
stage14_transfer,dev,decoder/mean_diff/YO_XH@-0.50,transfer_primary,3,0.0001299596778483252,-2.6078042328040954e-05,5.264713287535561e-05,0.0001981197756135227,0.009255697456519977,-0.019605666305166938,0.023295389026197513,0.00022301269784726573,0.00039502648444819877,0.00017232345251261792
stage14_transfer,dev,decoder/mean_diff/YO_XH@-1.00,transfer_primary,3,-0.0011875841887125224,-0.00011725569664902978,-0.00047115936348498914,-0.0016877532049055209,-0.02895104119665606,-0.017336524550140633,-0.010345633139755889,0.007279316956916685,0.00033899669138293906,0.004581598699462871
stage14_transfer,dev,decoder/mean_diff/all_non_african@+0.25,transfer_primary,3,,0.0004815225802469112,0.0005673742423333417,,,-0.07433544368684249,,,0.0014443512014569101,
stage14_transfer,dev,decoder/mean_diff/all_non_african@+0.50,transfer_primary,3,,0.0018380283209876525,0.0007518286170537517,,,-0.09917228955119534,,,0.0031836151623658156,
stage14_transfer,dev,decoder/mean_diff/all_non_african@+1.00,transfer_primary,3,,0.007420873925925923,0.003900887698917044,,,0.13507479177790738,,,0.008422225953007815,
stage14_transfer,dev,decoder/mean_diff/all_non_african@-0.50,transfer_primary,3,,-0.0017430115555555573,0.0003408804350898685,,,-0.2117154129499673,,,0.0030189278477387054,
stage14_transfer,dev,decoder/mean_diff/all_non_african@-1.00,transfer_primary,3,,-0.001603402296296298,0.00044745288544311676,,,-0.1431897236822789,,,0.0021715122086795775,
