stage,split,intervention,family,seed,language,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,delta_j,effect_size_sta,effect_size_sim
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,2024,uk,0.035847410372307695,-0.0002290233157980783,0.10773725178937499,-0.04236152807692309,-0.07139254404807692,-0.01918947164423077,0.0004961003865631464,0.19576834435298043,-0.6358259123086848
stage11_ablation,test,top_decoder_self_heads,ablation_primary,42,am,0.10422131207884615,0.0030794608029711397,0.22568480625697107,-0.02667481692307693,-0.06387809725,0.010668420163461525,0.0351285814514731,0.34930108599291765,-0.2611628374518401
stage11_ablation,test,top_decoder_self_heads,ablation_primary,42,es,0.09601115429538462,0.0004898340356923215,0.21094329840161538,-0.03620429192307691,-0.06437024518269231,-0.011460431769230763,0.037745905692055805,0.33978763192547445,-0.515926672811553
stage11_ablation,test,top_decoder_self_heads,ablation_primary,1337,am,0.10532151837269231,0.02009335519537502,0.21493663281748077,-0.06435733615384617,-0.09726280414423076,-0.03687426131730772,-0.004007686465006488,0.3927318498781515,-0.7640323613160164
stage11_ablation,test,top_decoder_self_heads,ablation_primary,2024,am,0.0713845284269231,0.008595001473653855,0.17554216085557695,-0.030074140000000006,-0.04969457354807692,-0.013633199865384612,0.031370810508547266,0.32716732082675437,-0.62013418899994
stage11_ablation,test,top_decoder_self_heads,ablation_primary,2024,en,0.13112553861692305,-0.006474979282836549,0.2858782172868937,-0.028191108461538453,-0.05733482452884614,-0.0025864412884615373,0.06389289206222432,0.3324701291351751,-0.40086185354241155
stage11_ablation,test,top_decoder_self_heads,ablation_primary,2024,uk,0.03868384682384615,1.836242019230625e-05,0.11563324717897112,-0.039823361153846146,-0.07493198075961538,-0.01039986435576924,-0.01610980453503368,0.19753481900267203,-0.4379016830944024
stage11_ablation,test,top_encoder_components,ablation_primary,42,es,0.04013654692423077,-0.07638341758638462,0.15767008370926927,-0.02152356846153846,-0.04521771245192307,-0.0001580485673076918,0.01715008021884409,0.11696586953809356,-0.37594626992428304
stage11_ablation,test,top_encoder_components,ablation_primary,2024,es,0.09447717122423077,-0.025879769833951898,0.24150815894455768,-0.02153607730769232,-0.052985303173076946,0.0019077826153845897,0.062163799593817744,0.2838674900075412,-0.27614906571770953
stage11_ablation,test,top_mean_diff_direction,ablation_primary,42,am,0.06335704487653845,-0.009460032133663464,0.16771679671239412,-0.09802728923076923,-0.16928755823076924,-0.038572648182692335,0.0054728029184977125,0.26047508489919846,-0.5498361145779826
