side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,best_cos_seed1337,best_cos_seed2024,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,replicated,status,best_cos_seed42
encoder,4,content,42,1134,0.5441795149982914,0.27473893761634827,0.29794639348983765,1,1,1,1,False,seed_specific,
encoder,4,content,42,803,0.5437564905225928,0.4692511260509491,0.4781951606273651,1,1,1,1,False,seed_specific,
encoder,4,content,42,1314,0.45635465708474754,0.23751798272132874,0.2895636558532715,1,1,1,1,False,seed_specific,
encoder,4,content,42,546,0.45662837880431717,0.2838771939277649,0.26733148097991943,1,1,1,1,False,seed_specific,
encoder,4,content,42,2292,0.45673828222202323,0.28133055567741394,0.24154247343540192,1,1,1,1,False,seed_specific,
encoder,4,content,42,2762,0.4568821934897362,0.3946685791015625,0.34836551547050476,1,1,1,1,False,seed_specific,
encoder,4,content,42,636,0.5430813102809878,0.35940665006637573,0.3538253903388977,1,1,1,1,False,seed_specific,
encoder,4,content,42,1921,0.4569767519019512,0.561246395111084,0.41902363300323486,2,1,1,1,False,seed_specific,
encoder,4,content,42,2180,0.4571368376349117,0.3184807300567627,0.29152947664260864,1,1,1,1,False,seed_specific,
encoder,4,content,42,399,0.4573160009422662,0.26824790239334106,0.27897292375564575,1,1,1,1,False,seed_specific,
encoder,4,content,42,2420,0.5426798517589524,0.28274106979370117,0.2681930363178253,1,1,1,1,False,seed_specific,
encoder,4,content,42,2201,0.4574109740843594,0.28332316875457764,0.3436453640460968,1,1,1,1,False,seed_specific,
encoder,4,content,1337,2397,0.3998987229637592,,0.40448519587516785,1,1,1,1,False,seed_specific,0.36226776242256165
encoder,4,content,1337,2389,0.4018015036446462,,0.31771981716156006,1,1,1,1,False,seed_specific,0.34626030921936035
encoder,4,content,1337,2857,0.403358814337046,,0.2940090298652649,1,1,1,1,False,seed_specific,0.31694063544273376
encoder,4,content,1337,2840,0.4103951214494976,,0.39444029331207275,1,1,1,1,False,seed_specific,0.4813995361328125
encoder,4,content,1337,1416,0.4114394112826434,,0.4939798414707184,1,1,1,1,False,seed_specific,0.27614182233810425
encoder,4,content,1337,2219,0.41680352752645144,,0.24335622787475586,1,1,1,1,False,seed_specific,0.3206689953804016
encoder,4,content,1337,520,0.4169988652990534,,0.31118500232696533,1,1,1,1,False,seed_specific,0.3259814977645874
encoder,4,content,1337,56,0.4223882800654278,,0.3697385787963867,1,1,1,1,False,seed_specific,0.44971713423728943
encoder,4,content,1337,887,0.5744415247461024,,0.4600885510444641,1,1,1,1,False,seed_specific,0.34466391801834106
encoder,4,content,1337,2278,0.43064223410008595,,0.34922343492507935,1,1,1,1,False,seed_specific,0.3379412591457367
encoder,4,content,1337,2006,0.4323322583534892,,0.34571322798728943,1,1,1,1,False,seed_specific,0.37841010093688965
encoder,4,content,1337,719,0.5648911251123918,,0.3551333546638489,1,1,1,1,False,seed_specific,0.4297029376029968
encoder,4,content,1337,2696,0.43625850610980055,,0.2887641191482544,1,1,1,1,False,seed_specific,0.32831475138664246
encoder,4,content,1337,884,0.43673627492941297,,0.2901564836502075,1,1,1,1,False,seed_specific,0.2727050185203552
encoder,4,content,1337,1791,0.5609652920859586,,0.3527248501777649,2,1,1,1,False,seed_specific,0.5903687477111816
encoder,4,content,1337,903,0.43928769313970434,,0.2999197840690613,1,1,1,1,False,seed_specific,0.30025190114974976
encoder,4,content,1337,1718,0.43960744987574696,,0.2512047290802002,1,1,1,1,False,seed_specific,0.25289982557296753
encoder,4,content,1337,510,0.44188099906768724,,0.374083936214447,1,1,1,1,False,seed_specific,0.31384554505348206
encoder,4,content,1337,1833,0.5572281611540771,,0.2956981956958771,1,1,1,1,False,seed_specific,0.3321617543697357
encoder,4,content,1337,1684,0.44321933238443134,,0.32815390825271606,1,1,1,1,False,seed_specific,0.33634352684020996
encoder,4,content,1337,2835,0.5566429772960275,,0.26146939396858215,1,1,1,1,False,seed_specific,0.3007592558860779
encoder,4,content,1337,1579,0.44341010812837384,,0.2503357231616974,1,1,1,1,False,seed_specific,0.2719552516937256
encoder,4,content,1337,794,0.44373940365161363,,0.29826104640960693,1,1,1,1,False,seed_specific,0.4016038179397583
encoder,4,content,1337,806,0.5560295918062647,,0.2836686372756958,1,1,1,1,False,seed_specific,0.2538840174674988
encoder,4,content,1337,1070,0.4441043659443732,,0.23691241443157196,1,1,1,1,False,seed_specific,0.2868817448616028
encoder,4,content,1337,1229,0.44534440827999905,,0.3769841492176056,1,1,1,1,False,seed_specific,0.2939125597476959
