seed,side,layer,contrast,source,target,transfer_type,n_train,n_dev,dev_accuracy,dev_auc,fit_split
42,decoder,8,toxic_vs_generated,dev_cv,multilingual_pooled,dev_cv,0,486,0.6665816326530611,0.7437471980714054,dev (grouped 5-fold CV)
42,decoder,8,toxic_vs_generated,EN_DE_ES,yo,cross_language,162,54,0.6481481481481481,0.8868312757201646,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,EN_DE_ES,xh,cross_language,162,54,0.6481481481481481,0.8916323731138545,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,all_non_african,yo,cross_language,378,54,0.5,0.8902606310013718,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,all_non_african,xh,cross_language,378,54,0.5925925925925926,0.8902606310013718,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,YO_XH,am,cross_language,108,54,0.5,0.5397805212620027,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,YO_XH,ar,cross_language,108,54,0.5,0.4979423868312757,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,YO_XH,de,cross_language,108,54,0.5,0.5308641975308641,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,YO_XH,en,cross_language,108,54,0.5740740740740741,0.5541838134430727,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,YO_XH,es,cross_language,108,54,0.5,0.5480109739368999,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,YO_XH,hi,cross_language,108,54,0.5185185185185185,0.5747599451303155,dev (disjoint source languages)
42,decoder,8,toxic_vs_generated,YO_XH,uk,cross_language,108,54,0.5,0.5569272976680384,dev (disjoint source languages)
1337,encoder,4,toxic_vs_detox_reference,am,am,within_language,244,54,0.8148148148148148,0.8806584362139918,
1337,encoder,4,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.7222222222222222,0.7037037037037037,
1337,encoder,4,toxic_vs_detox_reference,de,de,within_language,244,54,0.7777777777777778,0.8353909465020576,
1337,encoder,4,toxic_vs_detox_reference,en,en,within_language,244,54,0.8703703703703703,0.9341563786008231,
1337,encoder,4,toxic_vs_detox_reference,es,es,within_language,244,54,0.7592592592592593,0.8436213991769547,
1337,encoder,4,toxic_vs_detox_reference,hi,hi,within_language,244,54,0.8518518518518519,0.9396433470507545,
1337,encoder,4,toxic_vs_detox_reference,uk,uk,within_language,244,54,0.7592592592592593,0.8079561042524005,
1337,encoder,4,toxic_vs_detox_reference,xh,xh,within_language,244,54,0.7962962962962963,0.8641975308641976,
1337,encoder,4,toxic_vs_detox_reference,yo,yo,within_language,244,54,0.8703703703703703,0.9670781893004115,
1337,encoder,4,toxic_vs_detox_reference,EN_DE_ES,yo,cross_language,732,54,0.48148148148148145,0.2839506172839506,
1337,encoder,4,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.5,0.8340192043895748,
1337,encoder,4,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.48148148148148145,0.3045267489711934,
1337,encoder,4,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.5,0.8203017832647461,
1337,encoder,4,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.5185185185185185,0.4938271604938272,
1337,encoder,4,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.48148148148148145,0.45130315500685875,
1337,encoder,4,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.5185185185185185,0.4732510288065844,
1337,encoder,4,toxic_vs_detox_reference,YO_XH,en,cross_language,488,54,0.6111111111111112,0.6598079561042525,
1337,encoder,4,toxic_vs_detox_reference,YO_XH,es,cross_language,488,54,0.5,0.522633744855967,
1337,encoder,4,toxic_vs_detox_reference,YO_XH,hi,cross_language,488,54,0.6111111111111112,0.6584362139917694,
1337,encoder,4,toxic_vs_detox_reference,YO_XH,uk,cross_language,488,54,0.5555555555555556,0.5637860082304527,
1337,encoder,6,toxic_vs_detox_reference,am,am,within_language,244,54,0.8518518518518519,0.8984910836762688,
1337,encoder,6,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.7222222222222222,0.7613168724279835,
1337,encoder,6,toxic_vs_detox_reference,de,de,within_language,244,54,0.6851851851851852,0.831275720164609,
1337,encoder,6,toxic_vs_detox_reference,en,en,within_language,244,54,0.9074074074074074,0.9423868312757201,
1337,encoder,6,toxic_vs_detox_reference,es,es,within_language,244,54,0.7777777777777778,0.8340192043895748,
1337,encoder,6,toxic_vs_detox_reference,hi,hi,within_language,244,54,0.8703703703703703,0.9492455418381344,
1337,encoder,6,toxic_vs_detox_reference,uk,uk,within_language,244,54,0.7592592592592593,0.8079561042524006,
1337,encoder,6,toxic_vs_detox_reference,xh,xh,within_language,244,54,0.7962962962962963,0.8683127572016461,
1337,encoder,6,toxic_vs_detox_reference,yo,yo,within_language,244,54,0.9259259259259259,0.962962962962963,
1337,encoder,6,toxic_vs_detox_reference,EN_DE_ES,yo,cross_language,732,54,0.5,0.3744855967078189,
1337,encoder,6,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.5,0.739368998628258,
1337,encoder,6,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.5185185185185185,0.5637860082304527,
1337,encoder,6,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.5,0.7640603566529492,
1337,encoder,6,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.5740740740740741,0.5665294924554184,
1337,encoder,6,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.5370370370370371,0.4924554183813443,
1337,encoder,6,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.5,0.4622770919067215,
1337,encoder,6,toxic_vs_detox_reference,YO_XH,en,cross_language,488,54,0.5185185185185185,0.588477366255144,
1337,encoder,6,toxic_vs_detox_reference,YO_XH,es,cross_language,488,54,0.46296296296296297,0.3580246913580247,
1337,encoder,6,toxic_vs_detox_reference,YO_XH,hi,cross_language,488,54,0.6481481481481481,0.6995884773662552,
1337,encoder,6,toxic_vs_detox_reference,YO_XH,uk,cross_language,488,54,0.5555555555555556,0.5253772290809328,
1337,encoder,8,toxic_vs_detox_reference,am,am,within_language,244,54,0.8333333333333334,0.8737997256515775,
1337,encoder,8,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.6481481481481481,0.7489711934156378,
1337,encoder,8,toxic_vs_detox_reference,de,de,within_language,244,54,0.7037037037037037,0.8244170096021948,
