direction_type,scope,side,layer,pooling,n_seeds,mean_cosine_across_seeds,min_cosine_across_seeds,max_cosine_across_seeds
mean_diff,lang_uk,decoder,6,pooled_mean_all,3,0.9823980331420898,0.9805736541748047,0.9845988750457764
mean_diff,lang_uk,decoder,6,pooled_mean_content,3,0.9818716645240784,0.9804323315620422,0.9837472438812256
mean_diff,lang_uk,decoder,8,pooled_mean_all,3,0.9816289742787679,0.9807938933372498,0.982333242893219
mean_diff,lang_uk,decoder,8,pooled_mean_content,3,0.9801627596219381,0.979151725769043,0.9812812209129333
mean_diff,lang_uk,encoder,4,pooled_mean_all,3,0.9825505415598551,0.9802011847496033,0.987013041973114
mean_diff,lang_uk,encoder,4,pooled_mean_content,3,0.9706377784411112,0.9686287641525269,0.9733759760856628
mean_diff,lang_uk,encoder,6,pooled_mean_all,3,0.9748764634132385,0.9700265526771545,0.9843260049819946
mean_diff,lang_uk,encoder,6,pooled_mean_content,3,0.9618463516235352,0.9540066719055176,0.9727782011032104
mean_diff,lang_uk,encoder,8,pooled_mean_all,3,0.9659888744354248,0.9577990770339966,0.9780493974685669
mean_diff,lang_uk,encoder,8,pooled_mean_content,3,0.9500133792559305,0.9409599304199219,0.9653366804122925
mean_diff,lang_xh,decoder,4,pooled_mean_all,3,0.9645176728566488,0.9612687826156616,0.9681997299194336
mean_diff,lang_xh,decoder,4,pooled_mean_content,3,0.96305779616038,0.9604942202568054,0.967158854007721
mean_diff,lang_xh,decoder,6,pooled_mean_all,3,0.9723798831303915,0.9694313406944275,0.9742734432220459
mean_diff,lang_xh,decoder,6,pooled_mean_content,3,0.9716212550799052,0.968903124332428,0.9737468957901001
mean_diff,lang_xh,decoder,8,pooled_mean_all,3,0.9629607200622559,0.9604390859603882,0.9654284715652466
mean_diff,lang_xh,decoder,8,pooled_mean_content,3,0.9622328480084738,0.9597623944282532,0.9647058248519897
mean_diff,lang_xh,encoder,4,pooled_mean_all,3,0.9881212711334229,0.9852027297019958,0.9920886158943176
mean_diff,lang_xh,encoder,4,pooled_mean_content,3,0.9100052118301392,0.8885480165481567,0.9519550800323486
mean_diff,lang_xh,encoder,6,pooled_mean_all,3,0.9850724339485168,0.9820033311843872,0.9911594986915588
mean_diff,lang_xh,encoder,6,pooled_mean_content,3,0.9180307189623514,0.8956865072250366,0.9528726935386658
mean_diff,lang_xh,encoder,8,pooled_mean_all,3,0.9810579220453898,0.9768186211585999,0.9871722459793091
mean_diff,lang_xh,encoder,8,pooled_mean_content,3,0.9344325264294943,0.9229437112808228,0.957023024559021
mean_diff,lang_yo,decoder,4,pooled_mean_all,3,0.9716070294380188,0.9687119126319885,0.9770116806030273
mean_diff,lang_yo,decoder,4,pooled_mean_content,3,0.9690098563830057,0.9653247594833374,0.9752765893936157
mean_diff,lang_yo,decoder,6,pooled_mean_all,3,0.978127121925354,0.97470623254776,0.9822958707809448
mean_diff,lang_yo,decoder,6,pooled_mean_content,3,0.9772012035051981,0.9733364582061768,0.9816899299621582
mean_diff,lang_yo,decoder,8,pooled_mean_all,3,0.9631073872248331,0.9559057950973511,0.9721689224243164
mean_diff,lang_yo,decoder,8,pooled_mean_content,3,0.9623727401097616,0.9541742205619812,0.9727495312690735
mean_diff,lang_yo,encoder,4,pooled_mean_all,3,0.9539797107378641,0.9427965879440308,0.9741182923316956
mean_diff,lang_yo,encoder,4,pooled_mean_content,3,0.8892084360122681,0.8508287668228149,0.9559066295623779
mean_diff,lang_yo,encoder,6,pooled_mean_all,3,0.94553009668986,0.9272304177284241,0.9757499694824219
mean_diff,lang_yo,encoder,6,pooled_mean_content,3,0.8930356899897257,0.8535511493682861,0.9580098390579224
